username,password,last_login,is_active
jkowalski,pass123,2025-01-10 08:45:00,true
anowak,pass123,2025-01-09 17:12:00,true
pwisniewski,pass123,2024-12-20 09:01:00,false
kwójcik,pass123,2025-01-11 11:30:00,true
mkaminski,pass123,2025-01-08 19:45:00,true
alewandowska,pass123,2024-12-29 14:22:00,false
tzielinski,pass123,2025-01-05 07:55:00,true
mszymanska,pass123,2025-01-03 16:10:00,true
pdabrowski,pass123,2024-12-18 12:40:00,false
mpiotrowska,pass123,2025-01-06 18:05:00,true
lkozlowski,pass123,2025-01-04 10:00:00,true
ejankowska,pass123,2025-01-02 09:35:00,true
mmazur,pass123,2024-12-21 20:18:00,false
pkrawczyk,pass123,2025-01-01 13:50:00,true
rkaczmarek,pass123,2024-12-15 08:10:00,false
jpiasecka,pass123,2025-01-07 15:45:00,true
agrabowski,pass123,2025-01-09 11:25:00,true
npawlak,pass123,2025-01-10 09:05:00,true
bkrol,pass123,2024-12-19 17:55:00,false
kwieczorek,pass123,2025-01-08 14:15:00,true
djablonski,pass123,2025-01-06 10:40:00,true
jmajewska,pass123,2025-01-05 16:00:00,true
rolszewski,pass123,2024-12-22 18:30:00,false
mstepien,pass123,2025-01-03 12:20:00,true
kgorski,pass123,2024-12-14 09:50:00,false
iurban,pass123,2025-01-02 11:10:00,true
psikora,pass123,2025-01-04 14:45:00,true
abaran,pass123,2024-12-30 16:55:00,false
fczarnecki,pass123,2025-01-01 19:05:00,true
wwilk,pass123,2025-01-10 08:00:00,true
jnowicki,pass123,2025-01-09 13:35:00,true
echmielewska,pass123,2024-12-28 17:15:00,false
oluczak,pass123,2025-01-07 09:25:00,true
zborkowska,pass123,2024-12-16 11:55:00,false
amalinkowski,pass123,2025-01-05 18:45:00,true
ltomczak,pass123,2025-01-03 10:30:00,true
mrutkowski,pass123,2024-12-23 15:20:00,false
osadowska,pass123,2025-01-06 12:10:00,true
szawadzki,pass123,2024-12-17 09:00:00,false
awitkowska,pass123,2025-01-08 16:40:00,true
